Price,Close,High,Low,Open,Volume
Ticker,NVDA,NVDA,NVDA,NVDA,NVDA
Date,,,,,
2020-01-02,5.971410274505615,5.971410274505615,5.8920109160937795,5.942537823696139,237536000
2020-01-03,5.875832557678223,5.919639479838715,5.826798713675553,5.8516890211472665,205384000
2020-01-06,5.900472640991211,5.9056995619617005,5.756358691523111,5.78249329637556,262636000
2020-01-07,5.971908092498779,6.017706082693678,5.88379672631697,5.928847945646861,314856000
2020-01-08,5.983107089996338,6.024424918584633,5.927602043033967,5.9676750956024245,277108000
2020-01-09,6.048819065093994,6.121249669973034,5.995056308289606,6.069477985719002,255112000
2020-01-10,6.081173896789551,6.1864595337939425,6.066986679278755,6.156093552210385,316296000
2020-01-13,6.271834850311279,6.296973919615413,6.141658878781784,6.1643093449606505,319840000
2020-01-14,6.15485143661499,6.254412184065293,6.141659275586218,6.229023873013879,359088000
2020-01-15,6.112287998199463,6.1899455131991035,6.086402159866249,6.16754428868986,263104000
2020-01-16,6.195919990539551,6.201893682815855,6.1424060001740175,6.16580276377992,284192000
2020-01-17,6.204630374908447,6.222551448412026,6.157090085640523,6.215084215766452,253792000
2020-01-21,6.171278476715088,6.2048803152981495,6.137178632668914,6.168042628062491,217916000
2020-01-22,6.225289821624756,6.311907638823189,6.19766167564839,6.216578286834284,239240000
2020-01-23,6.29373836517334,6.302201135372716,6.176505782975215,6.2653639205825,244516000
2020-01-24,6.234499931335449,6.459009733569713,6.180239170582056,6.409229123297355,373512000
2020-01-27,5.978628635406494,6.029653547594997,5.780253438788895,5.929843561099861,470536000
2020-01-28,6.172025203704834,6.2043822657718435,5.991321857565568,6.044587078302899,310976000
2020-01-29,6.111542701721191,6.193680380107943,6.071717926835607,6.1575894597466005,258848000
2020-01-30,6.11826229095459,6.131703216878175,5.958716335413208,6.013723391219513,290504000
2020-01-31,5.884792327880859,6.084411825677321,5.842976956920806,6.07246444119071,370420000
2020-02-03,5.9818644523620605,6.001278596035723,5.8604000101128895,5.8666224677137775,255564000
2020-02-04,6.151116847991943,6.170282699054375,6.073708571920442,6.123737942425535,271544000
2020-02-05,6.241468906402588,6.282288739312522,6.158086458793153,6.272083662399272,208220000
2020-02-06,6.328334808349609,6.328334808349609,6.194674710968497,6.275816837273577,218284000
2020-02-07,6.2621283531188965,6.310415423757163,6.236740041379936,6.288262961018029,189752000
2020-02-10,6.545378684997559,6.546124981112812,6.279799812471676,6.284777968365155,529608000
